ID,Osc_17,Fem_04,ID,Fem_03,Tib_02,ID,Tib_12,Fib_05,ID,Sca_03,Hum_07,ID,Sca_04,Hum_07,ID,Hum_06,Uln_11,ID,Hum_06,Rad_04
RVO2/437B       ,60.1,49.2,UT12-87         ,86,80,ZJO6/491B       ,28.6,24.1,UT10-88,34.42,45,UT3-90          ,28,43.9,UT1-87,47.92,24.08,ZJO6/155B       ,47.2,24.2
RVO2/442B       ,61,51.7,UT12-88,85,79,ZJO6/560B       ,32.1,27.6,UT12-88,36.26,47,UT7-89,23.59,43.3,UT27-93,50.2,28.2,ZJO6/224B       ,52.1,27.9
RVO2/49B        ,62.3,53.5,UT12-89         ,92,85,ZJO6/582B       ,32.5,29.4,UT13-88,39.4,51,UT8-87,27.8,47.2,UT3-87,49.3,26.9,ZJO6/258B       ,45.8,24.2
RVO2/575B       ,63.5,51.3,UT12-90         ,90,82,ZJO6/628B       ,34.6,26.9,UT13-91,37.9,47,ZJO6/155B       ,31.7,45.1,UT3-90          ,45.6,24.5,ZJO6/437B       ,46.3,25.8
RVO2/576B       ,62.4,51.1,UT12-92         ,74,69,ZJO6/644B       ,34.9,29.5,UT16-91,34.6,46,ZJO6/224B       ,34.5,47.7,UT7-89,47.3,25.42,ZJO6/491B       ,42.8,22.9
UT10-88,58.66,51,UT12-94         ,81,76,2001-008-I-01,39.7,26.2,UT1-87,39.58,52,ZJO6/258B       ,32.9,44.6,UT8-87,51.3,29.6,ZJO6/560B       ,45.9,23.8
UT12-88,55.73,50,UT13-88,92,84.5,2011-028-I-01,36.3,26.2,UT27-93,37.2,51.7,ZJO6/437B       ,31.7,44.5,ZJO6/155B       ,47.2,25.6,ZJO6/582B       ,47.4,24
UT13-88,61.2,51.6,UT13-91,84,80,2011-078-I-01,36.3,29.7,UT3-87,40.2,50,ZJO6/491B       ,25.7,42.5,ZJO6/224B       ,52.1,21.7,ZJO6/628B       ,43,23.2
UT13-91,58.3,49,UT13-92         ,85,79,,,,UT3-90          ,37.4,46,ZJO6/560B       ,31.1,43.8,ZJO6/258B       ,45.8,29.7,ZJO6/644B       ,47.9,24
UT16-91,53.4,45,UT14-87         ,89,83,,,,UT7-89,32.88,42,ZJO6/582B       ,31.1,45.8,ZJO6/437B       ,46.3,24.9,2001-008-I-01,46.7,22.9
UT1-87,58.28,49,UT14-90         ,80,76,,,,UT8-87,36.7,50,ZJO6/628B       ,29.4,44.8,ZJO6/491B       ,42.8,22.2,2003-126-X-01,44,23.3
UT27-93,56.2,50.1,UT14-91         ,88,84,,,,ZJO6/155B       ,40.6,50.4,ZJO6/644B       ,29.8,49.5,ZJO6/560B       ,45.9,26.9,2005-103-C,44.7,23.4
UT3-87,62.1,52,UT16-89         ,82,77,,,,ZJO6/224B       ,42.7,52.5,2001-008-I-01,27.3,41.1,ZJO6/582B       ,47.4,25.5,2009-130-I-02,40.5,19
UT3-90          ,57.6,46,UT16-90         ,87,80,,,,ZJO6/258B       ,39.2,46.4,2002-150-I-02,35.8,41.6,ZJO6/628B       ,43,22.9,2011-028-I-01,42.6,22.3
UT7-89,54.71,45,UT16-91,82,75,,,,ZJO6/437B       ,39.5,47.8,2003-126-X-01,28.9,46.2,ZJO6/644B       ,47.9,26.9,2011-078-I-01,48.2,25.7
UT8-87,58.6,48,UT16-93         ,87,79,,,,ZJO6/491B       ,34.6,44.4,2003-135-I-02,30.3,42.3,2001-008-I-01,46.7,24,,,
ZJO6/155B       ,64,52,UT17-91         ,81,76,,,,ZJO6/560B       ,36.7,47.3,2005-103-C,30.6,43.4,2002-150-I-02,43.5,22.5,,,
ZJO6/224B       ,66.5,55.2,UT17-92         ,82,75,,,,ZJO6/582B       ,38.2,47.7,2009-130-I-02,30,38,2003-126-X-02,46,23.6,,,
ZJO6/258B       ,57.7,49.9,UT1-82          ,91,85,,,,ZJO6/628B       ,36.5,46.9,2011-028-I-01,27.8,42,2003-135-I-02,44,24,,,
ZJO6/437B       ,63,52,UT1-87,92,82,,,,ZJO6/644B       ,44.3,51.6,2011-078-I-01,28.5,45.6,2003-135-I-04,45.2,23.3,,,
ZJO6/491B       ,54,45,UT19-88,84,79,,,,2001-008-I-01,37.2,48.848,,,,2003-196-I-03,42.1,20.6,,,
