id,Side,Element,Cla_01,Cla_04,Cla_05,Cla_06,Cla_07,Cla_08,Cla_09,Sca_01,Sca_02,Sca_03,Sca_04,Sca_05,Hum_01,Hum_02,Hum_03,Hum_04,Hum_05,Hum_06,Hum_07,Hum_08,Hum_09,Rad_01,Rad_02,Rad_03,Rad_04,Rad_05,Rad_06,Rad_07,Rad_08,Rad_09,Rad_10,Uln_01,Uln_02,Uln_03,Uln_04,Uln_05,Uln_06,Uln_07,Uln_08,Uln_09,Uln_10,Uln_11,Osc_01,Osc_02,Osc_03,Osc_04,Osc_05,Osc_06,Osc_07,Osc_08,Osc_09,Osc_10,Osc_11,Osc_12,Osc_13,Osc_14,Osc_15,Osc_16,Osc_17,Fem_01,Fem_02,Fem_03,Fem_04,Fem_05,Fem_06,Fem_07,Fem_08,Fem_09,Fem_10,Fem_11,Fem_12,Fem_13,Fem_14,Fem_15,Fem_16,Fem_17,Fem_18,Fem_19,Tib_01,Tib_02,Tib_03,Tib_04,Tib_05,Tib_06,Tib_07,Tib_08,Tib_09,Tib_10,Tib_11,Tib_12,Tib_13,Tib_14,Tib_15,Tib_16,Fib_01,Fib_02,Fib_03,Fib_04,Fib_05
32,right,Humerus,,,,,,,,,,,,,,65,44,20,22,47.8,48.2,22,28.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,right,Humerus,,,,,,,,,,,,,,68,51,25,21,49.5,46.7,20.7,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,right,Humerus,,,,,,,,,,,,,355,60,45,27,20,42.6,43.9,19.3,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,right,Humerus,,,,,,,,,,,,,341,65,48,26,21,45.7,45.2,19.1,24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,right,Humerus,,,,,,,,,,,,,322,61,45,23,20,42.8,42.6,18.6,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,right,Humerus,,,,,,,,,,,,,302,58,43,21,16,46.5,45.8,18.6,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,right,Humerus,,,,,,,,,,,,,301,61,47,24,22,44.5,42.6,18.1,21.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,right,Humerus,,,,,,,,,,,,,328,,53,24,20,47.8,46.5,21,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,right,Humerus,,,,,,,,,,,,,342,,53,24,16,48.5,45.1,19.8,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,right,Humerus,,,,,,,,,,,,,220,66,53,24,16,48.5,45.1,19.8,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,right,Humerus,,,,,,,,,,,,,400,66,53,24,16,48.5,45.1,19.8,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,right,Humerus,,,,,,,,,,,,,380,66,53,24,16,48.5,45.1,19.8,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,left,Radius,,,,,,,,,,,,,,,,,,,,,,314,,,19.4,15.9,19.1,15.9,14.7,8.6,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,left,Radius,,,,,,,,,,,,,,,,,,,,,,215,,,21,10.4,13.4,16.7,16.5,10.6,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
